Categoria,Esposizione,Nome,Colore,Epoca della fioritura
Annuali – generali,soleggiata,Cosmea,"bianco, rosa, rosso, lilla, viola","estate, autunno"
Annuali – generali,soleggiata,Salvia splendida,"rosso","estate"
Annuali – generali,soleggiata,Tagete,"arancio, giallo, bruno","primavera, estate, autunno"
Annuali – generali,soleggiata,Vaniglia,"lilla","estate"
Annuali – generali,soleggiata,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Agerato,"lilla, blu, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Begonietta,"rosa, rosso, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Lobelia,"blu, azzurro, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Nasturzio,"arancio, giallo, bruno","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Salvia splendida nana,"bianco, rosa, rosso","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Tagete,"arancio, giallo, bruno","primavera, estate, autunno"
Annuali – basse (fino a cm 30),mezz’ombra,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Arctotide,"tutti i colori","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Astro regina Margherita,"tutti i colori","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Balasamina o Begliuomini,"rosa, rosso, bianco, lilla, viola","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Celosia,"giallo, rosso, amaranto","estate"
Annuali – medie (da cm 30 a 60),mezz’ombra,Clarchia,"rosa, porpora","estate"
Annuali – medie (da cm 30 a 60),mezz’ombra,Fiordaliso (cyanus),"bianco, azzurro, giallo, rosa, rosso","primavera, estate"
Annuali – medie (da cm 30 a 60),mezz’ombra,Nasturzio,"giallo, arancio, bruno","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Pianta di vetro o Impatiens,"rosa, rosso, bronzo","primavera, estate"
Annuali – medie (da cm 30 a 60),mezz’ombra,Reseda o Amorino,"giallastro, arancio, rosso","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Salvia sclarea,"rosso, blu","estate, autunno"
Annuali – medie (da cm 30 a 60),mezz’ombra,Salvia splendida,"bianco, rosa, rosso","primavera, estate, autunno"
